coarse_type,fine_type,name
biology,DNA,227
biology,RNA,16
biology,anatomy,234
biology,animal,409
biology,bacteria,1
biology,biologist,4
biology,biomedical,6
biology,bone,2
biology,botanist,8
biology,cell line,69
biology,cell type,169
biology,concept,3
biology,entomologist,20
biology,family,1
biology,gene,450
biology,insect,1
biology,neurologist,1
biology,paleoanthropologist,1
biology,paleontologist,1
biology,pathologist,1
biology,phylum,1
biology,plant,265
biology,primatologist,1
biology,protein,764
computer science,programming language,1
event,activity,78
event,aid,1
event,conference,3
event,disaster,4
event,economy,5
event,politics,6
event,war,34
film information,average ratings,50
film information,genre,112
film information,plot,54
film information,rating,99
film information,review,2
film information,title,65
film information,trailer,4
finance,concept,2
finance,economist,14
finance,entrepreneur,27
finance,financial institution,10
finance,investor,1
finance,money,76
food,additive,1
food,animal fat,15
food,animal feed,1
food,animal meat,20
food,beverage,24
food,bread,4
food,cereal,8
food,coffee bean,1
food,concept,43
food,condiment,25
food,confectionery,5
food,cuisine,69
food,dairy,4
food,dessert,9
food,dish,94
food,egg,2
food,fruit,15
food,mixture,3
food,nut,1
food,nutrient,7
food,pudding,2
food,salad,1
food,snack,7
food,software,2
food,soup,6
food,sweetener,19
food,vegetable,2
food,vegetable fat,7
food,wine,6
literature,book,7
literature,calligrapher,1
literature,character,12
literature,language,5
literature,myth,20
literature,painter,8
literature,poet,10
literature,writer,101
location,address,9
location,amenity,28
location,area,4
location,astronomical object,1
location,atoll,4
location,basin,1
location,bridge,1
location,canyon,2
location,castle,1
location,city,732
location,coast,6
location,community,32
location,company,2
location,concept,92
location,continent,67
location,country,1025
location,crater,1
location,delta,1
location,desert,5
location,district,49
location,facility,119
location,farm,1
location,fjord,1
location,forest,1
location,glacier,2
location,gorge,3
location,government,2
location,gulf,13
location,harbor,1
location,hill,2
location,island,88
location,lake,13
location,manor,1
location,market,1
location,meadow,1
location,mountain,48
location,ocean,14
location,officer,3
location,parish,45
location,pole,2
location,port,2
location,province,51
location,rainforest,1
location,restaurant,12
location,river,39
location,road,14
location,sea,14
location,spring,1
location,state,193
location,strait,13
location,street,9
location,town,94
location,university,1
location,village,28
location,volcano,3
location,waterfall,1
location,wilderness,2
medicine,disease,470
medicine,physician,2
music,band,5
music,musician,172
music,song,6
music,violinist,1
organization,academy,4
organization,army,20
organization,association,26
organization,band,5
organization,bank,17
organization,city,11
organization,club,275
organization,company,325
organization,country,3
organization,district,2
organization,ethnicity,19
organization,facility,13
organization,farm,1
organization,financial institution,10
organization,government,112
organization,international organization,26
organization,league,19
organization,media,132
organization,news agency,43
organization,non-profit organization,16
organization,poiliticalparty,1
organization,political party,87
organization,research institution,16
organization,restaurant,4
organization,school,12
organization,state,3
organization,team,121
organization,terrorist organization,1
organization,think tank,3
organization,university,96
person,abolitionist,1
person,activist,7
person,actor,358
person,adviser,3
person,analyst,4
person,anarchist,1
person,animator,6
person,anthropologist,6
person,archaeologist,4
person,architect,16
person,artist,68
person,astronaut,1
person,astronomer,13
person,athlete,292
person,auditor,1
person,aviator,2
person,biologist,4
person,bishop,6
person,botanist,8
person,calligrapher,1
person,cardinal,2
person,celebrity,11
person,chef,1
person,chemist,3
person,cinematographer,2
person,civilian,160
person,clergyman,1
person,co-driver,1
person,coach,15
person,conductor,2
person,criminal,7
person,critic,16
person,dancer,2
person,designer,18
person,director,100
person,economist,14
person,editor,1
person,engineer,9
person,entomologist,20
person,entrepreneur,27
person,executioner,1
person,expert,2
person,explorer,4
person,family,1
person,farmer,1
person,filmmaker,14
person,geographer,1
person,geologist,1
person,governess,1
person,historian,13
person,host,6
person,informant,3
person,investor,1
person,journalist,34
person,judge,5
person,king,22
person,lawyer,8
person,leader,35
person,lichenologist,1
person,linguist,6
person,logician,1
person,magician,1
person,manager,70
person,mathematician,26
person,missionary,2
person,model,2
person,musician,172
person,mycologist,1
person,naturalist,13
person,neurologist,1
person,noble,1
person,nun,4
person,nurse,1
person,oceanographer,2
person,officer,53
person,orator,3
person,painter,8
person,paleoanthropologist,1
person,paleontologist,1
person,pathologist,1
person,philosopher,67
person,physician,2
person,physicist,12
person,pianist,2
person,pitchman,3
person,poet,10
person,politician,240
person,politics,1
person,president,13
person,primatologist,1
person,prince,1
person,professor,1
person,psychiatrist,1
person,psychoanalyst,2
person,psychologist,17
person,publisher,2
person,queen,1
person,rabbi,2
person,referee,1
person,researcher,32
person,scientist,39
person,sculptor,6
person,sociologist,4
person,soldier,1
person,statistician,1
person,student,1
person,teacher,4
person,technician,1
person,terrorist,2
person,theologian,4
person,theorist,5
person,title,1
person,translator,4
person,village,1
person,violinist,1
person,witness,1
person,worker,1
person,writer,101
person,year,1
politics,abolitionist,1
politics,anarchist,1
politics,army,20
politics,criminal,6
politics,government,115
politics,judge,5
politics,king,22
politics,law,3
politics,leader,35
politics,officer,56
